second,queries,ok,fail,fail_pct,wan_queries,wan_fail_pct,lan_queries,lan_fail_pct,top_errors
129,5,5,0,0.0,5,0.0,0,0,-
130,5,5,0,0.0,5,0.0,0,0,-
131,5,5,0,0.0,4,0.0,1,0.0,-
132,5,5,0,0.0,5,0.0,0,0,-
133,5,5,0,0.0,5,0.0,0,0,-
134,5,5,0,0.0,5,0.0,0,0,-
135,5,5,0,0.0,5,0.0,0,0,-
136,5,5,0,0.0,5,0.0,0,0,-
137,5,5,0,0.0,4,0.0,1,0.0,-
138,5,5,0,0.0,5,0.0,0,0,-
139,5,5,0,0.0,5,0.0,0,0,-
140,5,5,0,0.0,5,0.0,0,0,-
141,5,5,0,0.0,5,0.0,0,0,-
142,5,5,0,0.0,5,0.0,0,0,-
143,5,5,0,0.0,5,0.0,0,0,-
144,5,5,0,0.0,4,0.0,1,0.0,-
145,4,4,0,0.0,4,0.0,0,0,-
146,5,5,0,0.0,5,0.0,0,0,-
147,5,5,0,0.0,5,0.0,0,0,-
148,5,5,0,0.0,5,0.0,0,0,-
149,5,5,0,0.0,5,0.0,0,0,-
150,5,5,0,0.0,5,0.0,0,0,-
151,5,5,0,0.0,5,0.0,0,0,-
152,5,5,0,0.0,5,0.0,0,0,-
153,5,5,0,0.0,5,0.0,0,0,-
154,5,5,0,0.0,5,0.0,0,0,-
155,5,5,0,0.0,4,0.0,1,0.0,-
156,5,5,0,0.0,5,0.0,0,0,-
157,5,5,0,0.0,5,0.0,0,0,-
158,5,5,0,0.0,5,0.0,0,0,-
159,5,5,0,0.0,5,0.0,0,0,-
160,5,5,0,0.0,5,0.0,0,0,-
161,5,5,0,0.0,5,0.0,0,0,-
162,5,5,0,0.0,5,0.0,0,0,-
163,5,5,0,0.0,4,0.0,1,0.0,-
164,5,5,0,0.0,5,0.0,0,0,-
165,5,5,0,0.0,5,0.0,0,0,-
166,5,5,0,0.0,5,0.0,0,0,-
167,5,5,0,0.0,4,0.0,1,0.0,-
168,5,5,0,0.0,5,0.0,0,0,-
169,5,5,0,0.0,5,0.0,0,0,-
170,5,5,0,0.0,5,0.0,0,0,-
171,5,5,0,0.0,5,0.0,0,0,-
172,5,5,0,0.0,5,0.0,0,0,-
173,5,5,0,0.0,5,0.0,0,0,-
174,5,5,0,0.0,5,0.0,0,0,-
175,5,5,0,0.0,5,0.0,0,0,-
176,5,5,0,0.0,5,0.0,0,0,-
177,5,5,0,0.0,5,0.0,0,0,-
178,5,5,0,0.0,5,0.0,0,0,-
179,5,5,0,0.0,5,0.0,0,0,-
180,5,5,0,0.0,5,0.0,0,0,-
181,5,5,0,0.0,4,0.0,1,0.0,-
182,5,5,0,0.0,5,0.0,0,0,-
183,5,5,0,0.0,5,0.0,0,0,-
184,5,5,0,0.0,5,0.0,0,0,-
185,5,5,0,0.0,5,0.0,0,0,-
186,5,5,0,0.0,5,0.0,0,0,-
187,5,5,0,0.0,5,0.0,0,0,-
188,5,5,0,0.0,4,0.0,1,0.0,-
189,5,5,0,0.0,5,0.0,0,0,-
190,5,5,0,0.0,5,0.0,0,0,-
191,5,5,0,0.0,5,0.0,0,0,-
192,5,5,0,0.0,5,0.0,0,0,-
193,5,5,0,0.0,5,0.0,0,0,-
194,5,5,0,0.0,5,0.0,0,0,-
195,5,5,0,0.0,5,0.0,0,0,-
196,5,5,0,0.0,5,0.0,0,0,-
197,5,5,0,0.0,4,0.0,1,0.0,-
198,5,5,0,0.0,5,0.0,0,0,-
199,5,5,0,0.0,5,0.0,0,0,-
200,5,4,1,20.0,5,20.0,0,0,timeout:1
201,5,5,0,0.0,5,0.0,0,0,-
202,5,5,0,0.0,5,0.0,0,0,-
203,5,5,0,0.0,4,0.0,1,0.0,-
204,5,5,0,0.0,5,0.0,0,0,-
205,5,5,0,0.0,5,0.0,0,0,-
206,5,5,0,0.0,5,0.0,0,0,-
207,5,5,0,0.0,5,0.0,0,0,-
208,5,5,0,0.0,5,0.0,0,0,-
209,5,5,0,0.0,5,0.0,0,0,-
210,5,5,0,0.0,5,0.0,0,0,-
211,5,5,0,0.0,5,0.0,0,0,-
212,5,5,0,0.0,4,0.0,1,0.0,-
213,5,5,0,0.0,5,0.0,0,0,-
214,5,5,0,0.0,5,0.0,0,0,-
215,5,5,0,0.0,5,0.0,0,0,-
216,5,5,0,0.0,5,0.0,0,0,-
217,5,5,0,0.0,5,0.0,0,0,-
218,5,5,0,0.0,5,0.0,0,0,-
219,5,5,0,0.0,5,0.0,0,0,-
220,5,5,0,0.0,5,0.0,0,0,-
221,5,5,0,0.0,5,0.0,0,0,-
222,5,5,0,0.0,4,0.0,1,0.0,-
223,5,5,0,0.0,5,0.0,0,0,-
224,5,5,0,0.0,5,0.0,0,0,-
225,5,4,1,20.0,5,20.0,0,0,SERVFAIL:1
226,5,5,0,0.0,5,0.0,0,0,-
227,5,5,0,0.0,5,0.0,0,0,-
228,5,5,0,0.0,5,0.0,0,0,-
229,5,5,0,0.0,5,0.0,0,0,-
230,5,5,0,0.0,4,0.0,1,0.0,-
231,5,4,1,20.0,5,20.0,0,0,timeout:1
232,5,5,0,0.0,5,0.0,0,0,-
233,5,5,0,0.0,5,0.0,0,0,-
234,5,5,0,0.0,5,0.0,0,0,-
235,5,5,0,0.0,5,0.0,0,0,-
236,5,5,0,0.0,5,0.0,0,0,-
237,5,5,0,0.0,5,0.0,0,0,-
238,5,5,0,0.0,5,0.0,0,0,-
239,5,5,0,0.0,4,0.0,1,0.0,-
240,5,5,0,0.0,5,0.0,0,0,-
241,5,5,0,0.0,5,0.0,0,0,-
242,4,4,0,0.0,4,0.0,0,0,-
243,5,5,0,0.0,5,0.0,0,0,-
244,5,5,0,0.0,5,0.0,0,0,-
245,5,5,0,0.0,5,0.0,0,0,-
246,5,5,0,0.0,5,0.0,0,0,-
247,5,5,0,0.0,5,0.0,0,0,-
248,5,5,0,0.0,4,0.0,1,0.0,-
249,5,4,1,20.0,5,20.0,0,0,timeout:1
250,5,5,0,0.0,5,0.0,0,0,-
251,5,5,0,0.0,5,0.0,0,0,-
252,5,5,0,0.0,5,0.0,0,0,-
253,5,5,0,0.0,5,0.0,0,0,-
254,5,5,0,0.0,5,0.0,0,0,-
255,5,5,0,0.0,5,0.0,0,0,-
256,5,5,0,0.0,4,0.0,1,0.0,-
257,5,5,0,0.0,5,0.0,0,0,-
258,5,5,0,0.0,5,0.0,0,0,-
259,5,5,0,0.0,5,0.0,0,0,-
260,5,5,0,0.0,5,0.0,0,0,-
261,5,5,0,0.0,5,0.0,0,0,-
262,5,5,0,0.0,5,0.0,0,0,-
263,5,5,0,0.0,5,0.0,0,0,-
264,5,5,0,0.0,5,0.0,0,0,-
265,5,5,0,0.0,5,0.0,0,0,-
266,5,5,0,0.0,5,0.0,0,0,-
267,5,5,0,0.0,5,0.0,0,0,-
268,5,5,0,0.0,4,0.0,1,0.0,-
269,5,5,0,0.0,5,0.0,0,0,-
270,5,5,0,0.0,5,0.0,0,0,-
271,5,5,0,0.0,5,0.0,0,0,-
272,5,5,0,0.0,5,0.0,0,0,-
273,5,5,0,0.0,5,0.0,0,0,-
274,5,5,0,0.0,5,0.0,0,0,-
275,5,5,0,0.0,5,0.0,0,0,-
276,5,5,0,0.0,5,0.0,0,0,-
277,5,5,0,0.0,4,0.0,1,0.0,-
278,5,5,0,0.0,5,0.0,0,0,-
279,5,5,0,0.0,5,0.0,0,0,-
280,5,4,1,20.0,5,20.0,0,0,timeout:1
281,5,5,0,0.0,5,0.0,0,0,-
282,5,4,1,20.0,5,20.0,0,0,timeout:1
283,5,5,0,0.0,5,0.0,0,0,-
284,5,5,0,0.0,5,0.0,0,0,-
285,5,5,0,0.0,5,0.0,0,0,-
286,5,4,1,20.0,4,25.0,1,0.0,timeout:1
287,5,4,1,20.0,5,20.0,0,0,timeout:1
288,5,5,0,0.0,5,0.0,0,0,-
289,5,5,0,0.0,5,0.0,0,0,-
290,5,5,0,0.0,5,0.0,0,0,-
291,5,4,1,20.0,4,25.0,1,0.0,timeout:1
292,5,5,0,0.0,5,0.0,0,0,-
293,5,5,0,0.0,5,0.0,0,0,-
294,5,5,0,0.0,5,0.0,0,0,-
295,5,5,0,0.0,5,0.0,0,0,-
296,5,5,0,0.0,5,0.0,0,0,-
297,5,4,1,20.0,5,20.0,0,0,SERVFAIL:1
298,5,5,0,0.0,5,0.0,0,0,-
299,5,5,0,0.0,5,0.0,0,0,-
300,5,5,0,0.0,5,0.0,0,0,-
301,5,5,0,0.0,5,0.0,0,0,-
302,5,5,0,0.0,5,0.0,0,0,-
303,5,5,0,0.0,5,0.0,0,0,-
304,5,5,0,0.0,4,0.0,1,0.0,-
